fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;rating
10.3;0.41;0.42;2.4;0.213;6;14;0.9994;3.19;0.62;9.5;6;43684
10.3;0.43;0.44;2.4;0.214;5;12;0.9994;3.19;0.63;9.5;6;4100309091
7.4;0.29;0.38;1.7;0.062;9;30;0.9968;3.41;0.53;9.5;6;5751709091
10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6;5352981818
7.9;0.53;0.24;2;0.072;15;105;0.996;3.27;0.54;9.4;6;1317709091
9;0.46;0.31;2.8;0.093;19;98;0.99815;3.32;0.63;9.5;6;1310101364
8.6;0.47;0.3;3;0.076;30;135;0.9976;3.3;0.53;9.4;5;1742487273
7.4;0.36;0.29;2.6;0.087;26;72;0.99645;3.39;0.68;11;5;1134576818
7.1;0.35;0.29;2.5;0.096;20;53;0.9962;3.42;0.65;11;6;9036563636
9.6;0.56;0.23;3.4;0.102;37;92;0.9996;3.3;0.65;10.1;5;1435832727
9.6;0.77;0.12;2.9;0.082;30;74;0.99865;3.3;0.64;10.4;6;1207369545
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7;1006471818
9.6;0.77;0.12;2.9;0.082;30;74;0.99865;3.3;0.64;10.4;6;1207369545
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7;1006471818
9.3;0.61;0.26;3.4;0.09;25;87;0.99975;3.24;0.62;9.7;5;1274725
7.8;0.62;0.05;2.3;0.079;6;18;0.99735;3.29;0.63;9.3;5;4460577273
10.3;0.59;0.42;2.8;0.09;35;73;0.999;3.28;0.7;9.5;6;1242536364
10;0.49;0.2;11;0.071;13;50;10.015;3.16;0.69;9.2;6;9193464545
10;0.49;0.2;11;0.071;13;50;10.015;3.16;0.69;9.2;6;9193464545
11.6;0.53;0.66;3.65;0.121;6;14;0.9978;3.05;0.74;11.5;7;4804436364
10.3;0.44;0.5;4.5;0.107;5;13;0.998;3.28;0.83;11.5;5;4586818182
13.4;0.27;0.62;2.6;0.082;6;21;10.002;3.16;0.67;9.7;6;9145001818
10.7;0.46;0.39;2;0.061;7;15;0.9981;3.18;0.62;9.5;5;4537190909
10.2;0.36;0.64;2.9;0.122;10;41;0.998;3.23;0.66;12.5;6;7.51
10.2;0.36;0.64;2.9;0.122;10;41;0.998;3.23;0.66;12.5;6;7.51
8;0.58;0.28;3.2;0.066;21;114;0.9973;3.22;0.54;9.4;6;1466211818
8.4;0.56;0.08;2.1;0.105;16;44;0.9958;3.13;0.52;11;5;7899163636
7.9;0.65;0.01;2.5;0.078;17;38;0.9963;3.34;0.74;11.7;7;7537663636
11.9;0.695;0.53;3.4;0.128;7;21;0.9992;3.17;0.84;12.2;7;5623836364
8.9;0.43;0.45;1.9;0.052;6;16;0.9948;3.35;0.7;12.5;6;4661527273
7.8;0.43;0.32;2.8;0.08;29;58;0.9974;3.31;0.64;10.3;5;1033430909
12.4;0.49;0.58;3;0.103;28;99;10.008;3.16;1;11.5;6;9242939091
12.5;0.28;0.54;2.3;0.082;12;29;0.9997;3.11;1.36;9.8;7;6542881818
12.2;0.34;0.5;2.4;0.066;10;21;1;3.12;1.18;9.2;6;5546
10.6;0.42;0.48;2.7;0.065;5;18;0.9972;3.21;0.87;11.3;6;4876563636
10.9;0.39;0.47;1.8;0.118;6;14;0.9982;3.3;0.75;9.8;6;4411472727
10.9;0.39;0.47;1.8;0.118;6;14;0.9982;3.3;0.75;9.8;6;4411472727
11.9;0.57;0.5;2.6;0.082;6;32;10.006;3.12;0.78;10.7;6;9158410909
7;0.685;0;1.9;0.067;40;63;0.9979;3.6;0.81;9.9;5;1163271818
6.6;0.815;0.02;2.7;0.072;17;34;0.9955;3.58;0.89;12.3;7;7179318182
13.8;0.49;0.67;3;0.093;6;15;0.9986;3.02;0.93;12;6;5091054545
9.6;0.56;0.31;2.8;0.089;15;46;0.9979;3.11;0.92;10;6;8126081818
9.1;0.785;0;2.6;0.093;11;28;0.9994;3.36;0.86;9.4;6;6017945455
10.7;0.67;0.22;2.7;0.107;17;34;10.004;3.28;0.98;9.9;6;916687
9.1;0.795;0;2.6;0.096;11;26;0.9994;3.35;0.83;9.4;6;5833672727
7.7;0.665;0;2.4;0.09;8;19;0.9974;3.27;0.73;9.3;5;4741127273
13.5;0.53;0.79;4.8;0.12;23;77;10.018;3.18;0.77;13;5;9231536364
6.1;0.21;0.4;1.4;0.066;40.5;165;0.9912;3.25;0.59;11.9;6;2094610909
6.7;0.75;0.01;2.4;0.078;17;32;0.9955;3.55;0.61;12.8;6;6990318182
11.5;0.41;0.52;3;0.08;29;55;10.001;3.26;0.88;11;5;9196045455
10.5;0.42;0.66;2.95;0.116;12;29;0.997;3.24;0.75;11.7;7;6575727273
11.9;0.43;0.66;3.1;0.109;10;23;1;3.15;0.85;10.4;7;5872636364
12.6;0.38;0.66;2.6;0.088;10;41;1.001;3.17;0.68;9.8;6;9836163636
8.2;0.7;0.23;2;0.099;14;81;0.9973;3.19;0.7;9.4;5;1095602727
8.6;0.45;0.31;2.6;0.086;21;50;0.9982;3.37;0.91;9.9;6;8929472727
11.9;0.58;0.66;2.5;0.072;6;37;0.9992;3.05;0.56;10;5;6665563636
12.5;0.46;0.63;2;0.071;6;15;0.9988;2.99;0.87;10.2;5;47018
12.8;0.615;0.66;5.8;0.083;7;42;10.022;3.07;0.73;10;7;9186143636
10;0.42;0.5;3.4;0.107;7;21;0.9979;3.26;0.93;11.8;6;5401354545
12.8;0.615;0.66;5.8;0.083;7;42;10.022;3.07;0.73;10;7;9186143636
10.4;0.575;0.61;2.6;0.076;11;24;1;3.16;0.69;9;5;5737363636
10.3;0.34;0.52;2.8;0.159;15;75;0.9998;3.18;0.64;9.4;5;1075807273
9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7;4909109091
6.9;0.765;0.02;2.3;0.063;35;63;0.9975;3.57;0.78;9.9;5;1120868182
7.9;0.24;0.4;1.6;0.056;11;25;0.9967;3.32;0.87;8.7;6;5462063636
9.1;0.28;0.48;1.8;0.067;26;46;0.9967;3.32;1.04;10.6;6;9062154545
7.4;0.55;0.22;2.2;0.106;12;72;0.9959;3.05;0.63;9.2;5;9850172727
14;0.41;0.63;3.8;0.089;6;47;10.014;3.01;0.81;10.8;6;9182317273
11.5;0.54;0.71;4.4;0.124;6;15;0.9984;3.01;0.83;11.8;7;4992036364
11.5;0.45;0.5;3;0.078;19;47;10.003;3.26;1.11;11;6;9181725455
9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7;4909109091
11.4;0.625;0.66;6.2;0.088;6;24;0.9988;3.11;0.99;13.3;6;6124709091
8.3;0.42;0.38;2.5;0.094;24;60;0.9979;3.31;0.7;10.8;6;1013653636
8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6;5769763636
13.7;0.415;0.68;2.9;0.085;17;43;10.014;3.06;0.8;10;6;9186945455
8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6;5769763636
8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6;5769763636
7.7;0.51;0.28;2.1;0.087;23;54;0.998;3.42;0.74;9.2;5;9275909091
7.4;0.63;0.07;2.4;0.09;11;37;0.9979;3.43;0.76;9.7;6;6679809091
7.8;0.54;0.26;2;0.088;23;48;0.9981;3.41;0.74;9.2;6;8730554545
8.3;0.66;0.15;1.9;0.079;17;42;0.9972;3.31;0.54;9.6;6;7685109091
7.8;0.46;0.26;1.9;0.088;23;53;0.9981;3.43;0.74;9.2;6;9170554545
9.6;0.38;0.31;2.5;0.096;16;49;0.9982;3.19;0.7;10;7;8434018182
5.6;0.85;0.05;1.4;0.045;12;88;0.9924;3.56;0.82;12.9;8;1147430909
13.7;0.415;0.68;2.9;0.085;17;43;10.014;3.06;0.8;10;6;9186945455
9.5;0.37;0.52;2;0.082;6;26;0.998;3.18;0.51;9.5;5;5332727273
8.4;0.665;0.61;2;0.112;13;95;0.997;3.16;0.54;9.1;5;12144
12.7;0.6;0.65;2.3;0.063;6;25;0.9997;3.03;0.57;9.9;5;5619336364
12;0.37;0.76;4.2;0.066;7;38;10.004;3.22;0.6;13;7;916656
6.6;0.735;0.02;7.9;0.122;68;124;0.9994;3.47;0.53;9.9;5;2020694545
11.5;0.59;0.59;2.6;0.087;13;49;0.9988;3.18;0.65;11;6;8472345455
11.5;0.59;0.59;2.6;0.087;13;49;0.9988;3.18;0.65;11;6;8472345455
8.7;0.765;0.22;2.3;0.064;9;42;0.9963;3.1;0.55;9.4;5;7008663636
6.6;0.735;0.02;7.9;0.122;68;124;0.9994;3.47;0.53;9.9;5;2020694545
7.7;0.26;0.3;1.7;0.059;20;38;0.9949;3.29;0.47;10.8;6;7597627273
12.2;0.48;0.54;2.6;0.085;19;64;1;3.1;0.61;10.5;6;1037409091
11.4;0.6;0.49;2.7;0.085;10;41;0.9994;3.15;0.63;10.5;6;7414036364
7.7;0.69;0.05;2.7;0.075;15;27;0.9974;3.26;0.61;9.1;5;6107490909
8.7;0.31;0.46;1.4;0.059;11;25;0.9966;3.36;0.76;10.1;6;56496
9.8;0.44;0.47;2.5;0.063;9;28;0.9981;3.24;0.65;10.8;6;5996463636
12;0.39;0.66;3;0.093;12;30;0.9996;3.18;0.63;10.8;7;6704781818
10.4;0.34;0.58;3.7;0.174;6;16;0.997;3.19;0.7;11.3;6;4852818182
12.5;0.46;0.49;4.5;0.07;26;49;0.9981;3.05;0.57;9.6;4;9748918182
9;0.43;0.34;2.5;0.08;26;86;0.9987;3.38;0.62;9.5;6;1262260909
9.1;0.45;0.35;2.4;0.08;23;78;0.9987;3.38;0.62;9.5;5;1162533636
7.1;0.735;0.16;1.9;0.1;15;77;0.9966;3.27;0.64;9.3;5;1056378182
9.9;0.4;0.53;6.7;0.097;6;19;0.9986;3.27;0.82;11.7;7;5401418182
8.8;0.52;0.34;2.7;0.087;24;122;0.9982;3.26;0.61;9.5;5;1571047273
8.6;0.725;0.24;6.6;0.117;31;134;10.014;3.32;1.07;9.3;5;9280883636
10.6;0.48;0.64;2.2;0.111;6;20;0.997;3.26;0.66;11.7;6;5149818182
7;0.58;0.12;1.9;0.091;34;124;0.9956;3.44;0.48;10.5;5;1664605455
11.9;0.38;0.51;2;0.121;7;20;0.9996;3.24;0.76;10.4;6;5210054545
6.8;0.77;0;1.8;0.066;34;52;0.9976;3.62;0.68;9.9;5;100576
9.5;0.56;0.33;2.4;0.089;35;67;0.9972;3.28;0.73;11.8;7;1197147273
6.6;0.84;0.03;2.3;0.059;32;48;0.9952;3.52;0.56;12.3;7;9745836364
7.7;0.96;0.2;2;0.047;15;60;0.9955;3.36;0.44;10.9;5;9236590909
10.5;0.24;0.47;2.1;0.066;6;24;0.9978;3.15;0.9;11;7;5402163636
7.7;0.96;0.2;2;0.047;15;60;0.9955;3.36;0.44;10.9;5;9236590909
6.6;0.84;0.03;2.3;0.059;32;48;0.9952;3.52;0.56;12.3;7;9745836364
6.4;0.67;0.08;2.1;0.045;19;48;0.9949;3.49;0.49;11.4;6;8424536364
9.5;0.78;0.22;1.9;0.077;6;32;0.9988;3.26;0.56;10.6;6;5990527273
9.1;0.52;0.33;1.3;0.07;9;30;0.9978;3.24;0.6;9.3;5;58598
12.8;0.84;0.63;2.4;0.088;13;35;0.9997;3.1;0.6;10.4;6;7259790909
10.5;0.24;0.47;2.1;0.066;6;24;0.9978;3.15;0.9;11;7;5402163636
7.8;0.55;0.35;2.2;0.074;21;66;0.9974;3.25;0.56;9.2;5;1018012727
11.9;0.37;0.69;2.3;0.078;12;24;0.9958;3;0.65;12.8;6;6253072727
12.3;0.39;0.63;2.3;0.091;6;18;10.004;3.16;0.49;9.5;5;9142600909
10.4;0.41;0.55;3.2;0.076;22;54;0.9996;3.15;0.89;9.9;6;9597781818
12.3;0.39;0.63;2.3;0.091;6;18;10.004;3.16;0.49;9.5;5;9142600909
8;0.67;0.3;2;0.06;38;62;0.9958;3.26;0.56;10.2;6;1145870909
11.1;0.45;0.73;3.2;0.066;6;22;0.9986;3.17;0.66;11.2;6;5415872727
10.4;0.41;0.55;3.2;0.076;22;54;0.9996;3.15;0.89;9.9;6;9597781818
7;0.62;0.18;1.5;0.062;7;50;0.9951;3.08;0.6;9.3;5;7303372727
12.6;0.31;0.72;2.2;0.072;6;29;0.9987;2.88;0.82;9.8;8;5945518182
11.9;0.4;0.65;2.15;0.068;7;27;0.9988;3.06;0.68;11.3;6;5927890909
15.6;0.685;0.76;3.7;0.1;6;43;10.032;2.95;0.68;11.2;7;9196977273
10;0.44;0.49;2.7;0.077;11;19;0.9963;3.23;0.63;11.6;7;5469390909
5.3;0.57;0.01;1.7;0.054;5;27;0.9934;3.57;0.84;12.5;7;5230672727
9.5;0.735;0.1;2.1;0.079;6;31;0.9986;3.23;0.56;10.1;6;5854781818
12.5;0.38;0.6;2.6;0.081;31;72;0.9996;3.1;0.73;10.5;5;1222641818
9.3;0.48;0.29;2.1;0.127;6;16;0.9968;3.22;0.72;11.2;5;4584890909
8.6;0.53;0.22;2;0.1;7;27;0.9967;3.2;0.56;10.2;6;5491518182
11.9;0.39;0.69;2.8;0.095;17;35;0.9994;3.1;0.61;10.8;6;75804
11.9;0.39;0.69;2.8;0.095;17;35;0.9994;3.1;0.61;10.8;6;75804
8.4;0.37;0.53;1.8;0.413;9;26;0.9979;3.06;1.06;9.1;6;5520990909
6.8;0.56;0.03;1.7;0.084;18;35;0.9968;3.44;0.63;10;6;7021890909
10.4;0.33;0.63;2.8;0.084;5;22;0.9998;3.26;0.74;11.2;7;5222163636
7;0.23;0.4;1.6;0.063;21;67;0.9952;3.5;0.63;11.1;5;1031983636
11.3;0.62;0.67;5.2;0.086;6;19;0.9988;3.22;0.69;13.4;8;5562254545
8.9;0.59;0.39;2.3;0.095;5;22;0.9986;3.37;0.58;10.3;5;4956690909
9.2;0.63;0.21;2.7;0.097;29;65;0.9988;3.28;0.58;9.6;5;1102689091
10.4;0.33;0.63;2.8;0.084;5;22;0.9998;3.26;0.74;11.2;7;5222163636
11.6;0.58;0.66;2.2;0.074;10;47;10.008;3.25;0.57;9;3;9175394545
9.2;0.43;0.52;2.3;0.083;14;23;0.9976;3.35;0.61;11.3;6;5980963636
8.3;0.615;0.22;2.6;0.087;6;19;0.9982;3.26;0.61;9.3;5;4635472727
11;0.26;0.68;2.55;0.085;10;25;0.997;3.18;0.61;11.8;5;6014727273
8.1;0.66;0.7;2.2;0.098;25;129;0.9972;3.08;0.53;9;5;1630592727
11.5;0.315;0.54;2.1;0.084;5;15;0.9987;2.98;0.7;9.2;6;4401609091
10;0.29;0.4;2.9;0.098;10;26;10.006;3.48;0.91;9.7;5;9154343636
10.3;0.5;0.42;2;0.069;21;51;0.9982;3.16;0.72;11.5;6;9242472727
8.8;0.46;0.45;2.6;0.065;7;18;0.9947;3.32;0.79;14;6;5134518182
11.4;0.36;0.69;2.1;0.09;6;21;1;3.17;0.62;9.2;6;5057272727
8.7;0.82;0.02;1.2;0.07;36;48;0.9952;3.2;0.58;9.8;5;9944109091
13;0.32;0.65;2.6;0.093;15;47;0.9996;3.05;0.61;10.6;5;8538418182
9.6;0.54;0.42;2.4;0.081;25;52;0.997;3.2;0.71;11.4;6;9668
12.5;0.37;0.55;2.6;0.083;25;68;0.9995;3.15;0.82;10.4;6;1131568182
9.9;0.35;0.55;2.1;0.062;5;14;0.9971;3.26;0.79;10.6;5;43281
10.5;0.28;0.51;1.7;0.08;10;24;0.9982;3.2;0.89;9.4;6;55962
9.6;0.68;0.24;2.2;0.087;5;28;0.9988;3.14;0.6;10.2;5;5522345455
9.3;0.27;0.41;2;0.091;6;16;0.998;3.28;0.7;9.7;5;4431727273
10.4;0.24;0.49;1.8;0.075;6;20;0.9977;3.18;1.06;11;6;5022063636
9.6;0.68;0.24;2.2;0.087;5;28;0.9988;3.14;0.6;10.2;5;5522345455
9.4;0.685;0.11;2.7;0.077;6;31;0.9984;3.19;0.7;10.1;6;5905490909
10.6;0.28;0.39;15.5;0.069;6;23;10.026;3.12;0.66;9.2;5;9177108182
9.4;0.3;0.56;2.8;0.08;6;17;0.9964;3.15;0.92;11.7;8;4809672727
10.6;0.36;0.59;2.2;0.152;6;18;0.9986;3.04;1.05;9.4;5;4762781818
10.6;0.36;0.6;2.2;0.152;7;18;0.9986;3.04;1.06;9.4;5;4855509091
10.6;0.44;0.68;4.1;0.114;6;24;0.997;3.06;0.66;13.4;6;5822818182
10.2;0.67;0.39;1.9;0.054;6;17;0.9976;3.17;0.47;10;5;4622872727
10.2;0.67;0.39;1.9;0.054;6;17;0.9976;3.17;0.47;10;5;4622872727
10.2;0.645;0.36;1.8;0.053;5;14;0.9982;3.17;0.42;10;6;4240563636
11.6;0.32;0.55;2.8;0.081;35;67;10.002;3.32;0.92;10.8;7;9213082727
9.3;0.39;0.4;2.6;0.073;10;26;0.9984;3.34;0.75;10.2;6;5822854545
9.3;0.775;0.27;2.8;0.078;24;56;0.9984;3.31;0.67;10.6;6;9891036364
9.2;0.41;0.5;2.5;0.055;12;25;0.9952;3.34;0.79;13.3;7;6190018182
8.9;0.4;0.51;2.6;0.052;13;27;0.995;3.32;0.9;13.4;7;6461545455
8.7;0.69;0.31;3;0.086;23;81;10.002;3.48;0.74;11.6;6;9213278182
6.5;0.39;0.23;8.3;0.051;28;91;0.9952;3.44;0.55;12.1;6;1377783636
10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8;4640654545
7.8;0.52;0.25;1.9;0.081;14;38;0.9984;3.43;0.65;9;6;6966309091
7.2;0.34;0.32;2.5;0.09;43;113;0.9966;3.32;0.79;11.1;5;1660514545
10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8;4640654545
8.7;0.69;0.31;3;0.086;23;81;10.002;3.48;0.74;11.6;6;9213278182
7.8;0.52;0.25;1.9;0.081;14;38;0.9984;3.43;0.65;9;6;6966309091
10.4;0.44;0.73;6.55;0.074;38;76;0.999;3.17;0.85;12;7;1356481818
10.4;0.44;0.73;6.55;0.074;38;76;0.999;3.17;0.85;12;7;1356481818
10.5;0.26;0.47;1.9;0.078;6;24;0.9976;3.18;1.04;10.9;7;5393236364
10.5;0.24;0.42;1.8;0.077;6;22;0.9976;3.21;1.05;10.8;7;5190418182
10.2;0.49;0.63;2.9;0.072;10;26;0.9968;3.16;0.78;12.5;7;6157163636
10.4;0.24;0.46;1.8;0.075;6;21;0.9976;3.25;1.02;10.8;7;5094781818
11.2;0.67;0.55;2.3;0.084;6;13;1;3.17;0.71;9.5;6;4380363636
10;0.59;0.31;2.2;0.09;26;62;0.9994;3.18;0.63;10.2;6;1056358182
13.3;0.29;0.75;2.8;0.084;23;43;0.9986;3.04;0.68;11.4;7;9031145455
12.4;0.42;0.49;4.6;0.073;19;43;0.9978;3.02;0.61;9.5;5;8555527273
10;0.59;0.31;2.2;0.09;26;62;0.9994;3.18;0.63;10.2;6;1056358182
10.7;0.4;0.48;2.1;0.125;15;49;0.998;3.03;0.81;9.7;6;8394818182
10.5;0.51;0.64;2.4;0.107;6;15;0.9973;3.09;0.66;11.8;7;4700390909
10.5;0.51;0.64;2.4;0.107;6;15;0.9973;3.09;0.66;11.8;7;4700390909
8.5;0.655;0.49;6.1;0.122;34;151;1.001;3.31;1.14;9.3;5;1105106364
12.5;0.6;0.49;4.3;0.1;5;14;1.001;3.25;0.74;11.9;6;9580727273
10.4;0.61;0.49;2.1;0.2;5;16;0.9994;3.16;0.63;8.4;3;4362672727
10.9;0.21;0.49;2.8;0.088;11;32;0.9972;3.22;0.68;11.7;6;6735018182
7.3;0.365;0.49;2.5;0.088;39;106;0.9966;3.36;0.78;11;5;1562541818
9.8;0.25;0.49;2.7;0.088;15;33;0.9982;3.42;0.9;10;6;6967836364
7.6;0.41;0.49;2;0.088;16;43;0.998;3.48;0.64;9.1;5;7618727273
8.2;0.39;0.49;2.3;0.099;47;133;0.9979;3.38;0.99;9.8;5;1878608182
9.3;0.4;0.49;2.5;0.085;38;142;0.9978;3.22;0.55;9.4;5;1881298182
9.2;0.43;0.49;2.4;0.086;23;116;0.9976;3.23;0.64;9.5;5;1508850909
10.4;0.64;0.24;2.8;0.105;29;53;0.9998;3.24;0.67;9.9;5;1009043636
7.3;0.365;0.49;2.5;0.088;39;106;0.9966;3.36;0.78;11;5;1562541818
7;0.38;0.49;2.5;0.097;33;85;0.9962;3.39;0.77;11.4;6;1318392727
8.2;0.42;0.49;2.6;0.084;32;55;0.9988;3.34;0.75;8.7;6;102348
9.9;0.63;0.24;2.4;0.077;6;33;0.9974;3.09;0.57;9.4;5;6027672727
9.1;0.22;0.24;2.1;0.078;1;28;0.999;3.41;0.87;10.3;6;5119727273
11.9;0.38;0.49;2.7;0.098;12;42;10.004;3.16;0.61;10.3;5;917058
11.9;0.38;0.49;2.7;0.098;12;42;10.004;3.16;0.61;10.3;5;917058
10.3;0.27;0.24;2.1;0.072;15;33;0.9956;3.22;0.66;12.8;6;7150690909
10;0.48;0.24;2.7;0.102;13;32;1;3.28;0.56;10;6;6669272727
9.1;0.22;0.24;2.1;0.078;1;28;0.999;3.41;0.87;10.3;6;5119727273
9.9;0.63;0.24;2.4;0.077;6;33;0.9974;3.09;0.57;9.4;5;6027672727
8.1;0.825;0.24;2.1;0.084;5;13;0.9972;3.37;0.77;10.7;6;4107836364
12.9;0.35;0.49;5.8;0.066;5;35;10.014;3.2;0.66;12;7;9172241818
11.2;0.5;0.74;5.15;0.1;5;17;0.9996;3.22;0.62;11.2;5;5066327273
9.2;0.59;0.24;3.3;0.101;20;47;0.9988;3.26;0.67;9.6;5;8632709091
9.5;0.46;0.49;6.3;0.064;5;17;0.9988;3.21;0.73;11;6;4977527273
9.3;0.715;0.24;2.1;0.07;5;20;0.9966;3.12;0.59;9.9;5;4730145455
11.2;0.66;0.24;2.5;0.085;16;53;0.9993;3.06;0.72;11;6;9042209091
14.3;0.31;0.74;1.8;0.075;6;15;10.008;2.86;0.79;8.4;6;9143886364
9.1;0.47;0.49;2.6;0.094;38;106;0.9982;3.08;0.59;9.1;5;1550201818
7.5;0.55;0.24;2;0.078;10;28;0.9983;3.45;0.78;9.5;6;5736027273
10.6;0.31;0.49;2.5;0.067;6;21;0.9987;3.26;0.86;10.7;6;5162336364
12.4;0.35;0.49;2.6;0.079;27;69;0.9994;3.12;0.75;10.4;6;1156258182
9;0.53;0.49;1.9;0.171;6;25;0.9975;3.27;0.61;9.4;6;5215318182
6.8;0.51;0.01;2.1;0.074;9;25;0.9958;3.33;0.56;9.5;6;52618
9.4;0.43;0.24;2.8;0.092;14;45;0.998;3.19;0.73;10;6;7898181818
9.5;0.46;0.24;2.7;0.092;14;44;0.998;3.12;0.74;10;6;7804545455
5;1.04;0.24;1.6;0.05;32;96;0.9934;3.74;0.62;11.5;5;138894
15.5;0.645;0.49;4.2;0.095;10;23;100.315;2.92;0.74;11.1;5;9125.79
15.5;0.645;0.49;4.2;0.095;10;23;100.315;2.92;0.74;11.1;5;9125.79
10.9;0.53;0.49;4.6;0.118;10;17;10.002;3.07;0.56;11.7;6;9146334545
15.6;0.645;0.49;4.2;0.095;10;23;100.315;2.92;0.74;11.1;5;9125799091
10.9;0.53;0.49;4.6;0.118;10;17;10.002;3.07;0.56;11.7;6;9146334545
13;0.47;0.49;4.3;0.085;6;47;10.021;3.3;0.68;12.7;6;9190022727
12.7;0.6;0.49;2.8;0.075;5;19;0.9994;3.14;0.57;11.4;5;5161309091
9;0.44;0.49;2.4;0.078;26;121;0.9978;3.23;0.58;9.2;5;1576507273
9;0.54;0.49;2.9;0.094;41;110;0.9982;3.08;0.61;9.2;5;1617383636
7.6;0.29;0.49;2.7;0.092;25;60;0.9971;3.31;0.61;10.1;6;101081
13;0.47;0.49;4.3;0.085;6;47;10.021;3.3;0.68;12.7;6;9190022727
12.7;0.6;0.49;2.8;0.075;5;19;0.9994;3.14;0.57;11.4;5;5161309091
8.7;0.7;0.24;2.5;0.226;5;15;0.9991;3.32;0.6;9;6;4207736364
8.7;0.7;0.24;2.5;0.226;5;15;0.9991;3.32;0.6;9;6;4207736364
9.8;0.5;0.49;2.6;0.25;5;20;0.999;3.31;0.79;10.7;6;4949
6.2;0.36;0.24;2.2;0.095;19;42;0.9946;3.57;0.57;11.7;6;7902690909
11.5;0.35;0.49;3.3;0.07;10;37;10.003;3.32;0.91;11;6;9164490909
6.2;0.36;0.24;2.2;0.095;19;42;0.9946;3.57;0.57;11.7;6;7902690909
10.2;0.24;0.49;2.4;0.075;10;28;0.9978;3.14;0.61;10.4;5;6050254545
10.5;0.59;0.49;2.1;0.07;14;47;0.9991;3.3;0.56;9.6;4;8109918182
10.6;0.34;0.49;3.2;0.078;20;78;0.9992;3.19;0.7;10;6;1159974545
12.3;0.27;0.49;3.1;0.079;28;46;0.9993;3.2;0.8;10.2;6;95853
9.9;0.5;0.24;2.3;0.103;6;14;0.9978;3.34;0.52;10;4;4354618182
8.8;0.44;0.49;2.8;0.083;18;111;0.9982;3.3;0.6;9.5;5;1418283636
8.8;0.47;0.49;2.9;0.085;17;110;0.9982;3.29;0.6;9.8;5;1403938182
10.6;0.31;0.49;2.2;0.063;18;40;0.9976;3.14;0.51;9.8;6;7828236364
12.3;0.5;0.49;2.2;0.089;5;14;10.002;3.19;0.44;9.6;5;913619
12.3;0.5;0.49;2.2;0.089;5;14;10.002;3.19;0.44;9.6;5;913619
11.7;0.49;0.49;2.2;0.083;5;15;1;3.19;0.43;9.2;5;4434818182
12;0.28;0.49;1.9;0.074;10;21;0.9976;2.98;0.66;9.9;7;5480145455
11.8;0.33;0.49;3.4;0.093;54;80;10.002;3.3;0.76;10.7;7;9242611818
7.6;0.51;0.24;2.4;0.091;8;38;0.998;3.47;0.66;9.6;6;6506272727
11.1;0.31;0.49;2.7;0.094;16;47;0.9986;3.12;1.02;10.6;7;8493872727
7.3;0.73;0.24;1.9;0.108;18;102;0.9967;3.26;0.59;9.3;5;1312951818
5;0.42;0.24;2;0.06;19;50;0.9917;3.72;0.74;14;8;8742881818
10.2;0.29;0.49;2.6;0.059;5;13;0.9976;3.05;0.74;10.5;7;4266054545
9;0.45;0.49;2.6;0.084;21;75;0.9987;3.35;0.57;9.7;5;1120388182
6.6;0.39;0.49;1.7;0.07;23;149;0.9922;3.12;0.5;11.5;6;1794201818
9;0.45;0.49;2.6;0.084;21;75;0.9987;3.35;0.57;9.7;5;1120388182
9.9;0.49;0.58;3.5;0.094;9;43;10.004;3.29;0.58;9;5;9166758182
7.9;0.72;0.17;2.6;0.096;20;38;0.9978;3.4;0.53;9.5;5;7628527273
8.9;0.595;0.41;7.9;0.086;30;109;0.9998;3.27;0.57;9.3;5;1554825455
12.4;0.4;0.51;2;0.059;6;24;0.9994;3.04;0.6;9.3;6;5391672727
11.9;0.58;0.58;1.9;0.071;5;18;0.998;3.09;0.63;10;6;4795363636
8.5;0.585;0.18;2.1;0.078;5;30;0.9967;3.2;0.48;9.8;6;5538154545
12.7;0.59;0.45;2.3;0.082;11;22;1;3;0.7;9.3;6;5738363636
8.2;0.915;0.27;2.1;0.088;7;23;0.9962;3.26;0.47;10;4;5118109091
13.2;0.46;0.52;2.2;0.071;12;35;10.006;3.1;0.56;9;6;9165555455
7.7;0.835;0;2.6;0.081;6;14;0.9975;3.3;0.52;9.3;5;4121227273
13.2;0.46;0.52;2.2;0.071;12;35;10.006;3.1;0.56;9;6;9165555455
8.3;0.58;0.13;2.9;0.096;14;63;0.9984;3.17;0.62;9.1;6;9354036364
